CompanyName,symbol,CIK,SIC,Email,NAICS,Sector,Address,Website,Industry,Telephone,Facsimile,Fiscal Year End,Business Description,Market
Avalon Advanced Materials Inc.,AVL,1022839,"
",ir@AvalonAM.com,All Other Metal Ore Mining(212299),Basic Materials,"130 Adelaide Street West, 	Suite 1901, 	Toronto, ON, CAN, M5H 3P5	",http://www.avalonadvancedmaterials.com,Metals & Mining,+1 416 364-4938,+1 416 364-5162,"
	08/2018","Avalon Advanced Materials Inc is a mineral exploration and development company. Avalon operates primarily in Canada with a focus on rare metals and minerals, including lithium, tantalum, niobium, cesium, indium, gallium, germanium, rare earth elements, yttrium, and zirconium. The company presently owns six rare metals and mineral projects in Canada, three of which are under active development. It also owns royalty interests in two exploration projects. The company is currently focusing on its Nechalacho Rare Earth Elements Project at Thor Lake, Separation Rapids Lithium Project near Kenora, Ontario and its East Kemptville Tin-Indium Project in Yarmouth, Nova Scotia.",TSX
Avcorp Industries Inc.,AVP,,"
3211 ",sdiprimo@avcorp.com,Aircraft Manufacturing(336411),Industrials,"10025 River Way, 		Delta, BC, CAN, V4G 1M7	",https://www.avcorp.com,Aerospace & Defense,+1 604 582-6677,+1 604 582-2620,"
	12/2018","Avcorp Industries Inc is a Canada based manufacturer within the aerospace industry. It designs and builds structures for aircraft manufacturers. The reportable segments of the company are The Avcorp Structures and Integration segment, which offers metallic and composite aerostructures assembly and integration, The Comtek Advanced Structures segment dedicated to aircraft structural component repair services, and design and manufacture of composite aerostructures, and The Avcorp Composite Fabrication segment which offers advanced composite aerostructures fabrication.",TSX
A&W Revenue Royalties Income Fund,AW.UN,,"
9211 ",investorrelations@aw.ca,Full-Service Restaurants(722511),Consumer Cyclical,"300 - 171 West Esplanade, 		North Vancouver, BC, CAN, V7M 3K9	",http://www.awincomefund.ca,Restaurants,+1 604 988-2141,,"
	12/2018","A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W trade-marks used in the A&W quick service restaurant business in Canada. The company has opened approximately 32 locations, bringing the total number of A&W restaurants to approximately 854, of which almost 845 are franchised and nine are owned and operated corporately. It has granted A&W Food Services of Canada Inc, a license to use the A&W trade-marks to market Root Beer in cans and bottles to the retail grocery trad as well as its acts as a franchisor of hamburger quick service restaurants in Canada.",TSX
Artis Real Estate Investment Trust,AX.PR.A,,"
7222 ",info@artisreit.com,Lessors of Other Real Estate Property(531190),Real Estate,"220 Portage Avenue, 	Suite 600, 	Winnipeg, MB, CAN, R3C0A5	",http://www.artisreit.com,REITs,+1 204 947-1250,+1 204 947-0453,"
	12/2018","Artis Real Estate Investment Trust is an unincorporated closed-end REIT based in Canada. Artis REIT's portfolio comprises properties located in Central and Western Canada and select markets throughout the United States, including regions such as Alberta, British Columbia, Manitoba, Ontario, Saskatchewan, Arizona, Minnesota, Colorado, New York, and Wisconsin. The properties are divided into three categories: office, retail, and industrial. The industrial properties account for most of the portfolio, followed by the office properties and the retail properties.",TSX
Alexco Resource Corp.,AXR,1364128,"
4999 ",lmay@alexcoresource.com,All Other Miscellaneous Waste Management Services(562998),Industrials,"Two Bentall Centre, 555 Burrard Street, 	Suite 1225, Box 216, 	Vancouver, BC, CAN, V7X 1M9	",http://www.alexcoresource.com,Waste Management,+1 604 633-4888,+1 604 633-4887,"
	12/2018","Alexco Resource Corp and its subsidiaries are involved in mineral exploration and mine development business and also provide environmental consulting services which include management of the regulatory and environmental permitting process, remediation technologies, and project management services. The company has Environmental services and Mining operating segments. It derives the majority of its revenues from Environmental services segment. The firm's projects include Keno hill project, Onek and Elsa Tailings development properties, Bermingham and Husky exploration properties.",TSX
Atalaya Mining plc,AYM,,,,,,,,,,,,,TSX
Atlantic Power Preferred Equity Ltd.,AZP.PR.A,,"
4911 ",,Electric Power Distribution(221122),Utilities,"3 Allied Drive, 	Suite 155, 	Dedham, MA, USA, 02026	",https://www.atlanticpower.com,Utilities - Regulated,+1 617 977-2400,+1 617 977-2410,"
	/","Atlantic Power Preferred Equity Ltd owns and operates a diverse fleet of power generation assets in the United States and Canada. Its power generation projects sell electricity to utilities and other large commercial customers. The firm holds an interest in natural gas, coal, hydro and biomass power generation projects. The company has operating segments including East U.S. which is the highest revenue generating segment, West U.S., and Canada. Its projects include Cadillac, Morris, Nipigon, Orlando, Tunis, among others.",TSX
Azarga Uranium Corp.,AZZ,1515828,"
",info@azargauranium.com,Uranium-Radium-Vanadium Ore Mining(212291),Basic Materials,"Unit 1 - 15782 Marine Drive, 		White Rock, BC, CAN, V4B 1E6	",http://www.azargauranium.com,Metals & Mining,+1 604 536-2711,+1 604 536-2788,"
	12/2018","Azarga Uranium Corp is a Canada based integrated uranium exploration and development company. It is an exploration and development stage company. The company controls uranium properties located in the United States of America and in the Kyrgyz Republic. The two reportable segments of the company are the Kyrgyzstan Uranium Division and the United States Uranium Division. The group's Dewey Burdock Project is located in South Dakota and is its initial development priority. It also owns the Centennial Project in Colorado, the Aladdin Deposit in Wyoming, two uranium exploration properties in Wyoming and 70% of the Kyzyl Ompul Project in the Kyrgyz Republic. The Dewey Burdock Uranium Project is comprised of approximately 13,000 surface acres and 17,000 net mineral acres.",TSX
Badger Daylighting Ltd.,BAD,,"
4129 ",corporate@badgerinc.com,Oil and Gas Pipeline and Related Structures Construction(237120),Industrials,"919-11th Avenue SW, 	Suite 400, 	Calgary, AB, CAN, T2R 1P3	",http://www.badgerinc.com,Engineering & Construction,+1 403 264-8500,+1 403 228-9773,"
	12/2018","Badger Daylighting is a Canada-based company that provides nondestructive hydrovac excavation services based on its core technology, the Badger Hydrovac System. The Badger Hydrovac System is an excavation unit that is used primarily for digging in areas with buried pipes and cables. Through its hydrovac vacuum truck fleet, the company provides excavation services to its customers across the United States and Canada, primarily contractors, engineers, and facility owners in the oil and gas, power, municipal, transportation, industrial, and commercial construction industries. The company generates all its sales from the North American market.",TSX
Brookfield Asset Management Inc.,BAM.A,1001085,"
7299 ",enquiries@brookfield.com,Miscellaneous Financial Investment Activities(523999),Financial Services,"181 Bay Street, 	Suite 300, Brookfield Place, P.O. Box 762, 	Toronto, ON, CAN, M5J 2T3	",http://www.brookfield.com,Asset Management,+1 416 363-9491,+1 416 365-9642,"
	12/2018","Brookfield Asset Management Inc owns and manages commercial property (mainly office, but also retail and residential), power (mainly hydroelectric), and infrastructure (timberlands and power transmission) assets. Located around the world, its assets are concentrated in the United States, Canada, Brazil, and Australia.",TSX
BMO Global Banks Hedged to CAD Index ETF,BANK,,"
",alternativeproducts@bmo.com,,,"43rd Floor, 	100 King Street West, 	Toronto, Ontario, Canada, M5X 1A1	",http://www.bmo.com/gam/ca,,+1 8003611392,,"
	/",,TSX
Balmoral Resources Ltd.,BAR,43462,"
",jfoulkes@balmoralresources.com,All Other Metal Ore Mining(212299),Basic Materials,"700 West Pender Street, 	Suite 1750, 	Vancouver, BC, CAN, V6C 1G8	",http://www.balmoralresources.com,Metals & Mining,+1 604 638-3664,+1 604 648-8809,"
	12/2018",Balmoral Resources Ltd is a Canada based exploration stage mining exploration and development company. It is engaged in the acquisition and exploration of gold and base metal properties in Canada. The principal focus of the company's exploration activities are the properties comprising its Detour Trend Project in Quebec.,TSX
BlackBerry Limited,BB,1070235,"
4821 ",investor_relations@BlackBerry.com,All Other Telecommunications(517919),Technology,"2200 University Avenue East, 		Waterloo, ON, CAN, N2K 0A7	",https://www.blackberry.com,Communication Equipment,+1 519 888-7465,+1 519 888-6990,"
	02/2019","BlackBerry, formerly Research in Motion, designs and markets wireless handsets, software, and services. Its primary revenue drivers are the sale of handsets to customers for personal and corporate use, a variety of software products used in embedded systems and for mobile device management, and service access fees from wireless carriers associated with securing and processing wireless data traffic. BlackBerry also owns QNX, a leader in software used in automotive infotainment systems.",TSX
Bombardier Inc.,BBD.A,878334,"
3211 ",,Aircraft Manufacturing(336411),Industrials,"800 Rene-Levesque Boulevard West, 		Montreal, QC, CAN, H3B 1Y8	",http://www.bombardier.com,Aerospace & Defense,+1 514 861-9481,+1 514 861-2420,"
	12/2018","Bombardier manufactures transportation solutions, from commercial aircraft and business jets to rail transportation equipment and related services. With a home office in Montreal, it has facilities and 74,000 employees operating in 28 countries. Revenue in 2018 was $16.2 billion: $8.7 billion from aerospace businesses (regional jets, turboprops, and business jets), $8.9 billion from rail transportation activities, and $1.4 billion of corporate eliminations.",TSX
Brampton Brick Limited,BBL.A,,"
3549 ",Investor.relations@bramptonbrick.com,Concrete Block and Brick Manufacturing(327331),Basic Materials,"225 Wanless Drive, 		Brampton, ON, CAN, L7A 1E9	",https://www.bramptonbrick.com,Building Materials,+1 905 840-1011,+1 905 840-1535,"
	12/2018","Brampton Brick Ltd is domiciled in Canada. Brampton Brick is a manufacturer of clay brick, brick and stone veneer, and cultured stone, serving Canada and the United States, as well as complementary pavers and retaining walls under the Oaks brand name. The company also manufactures Concrete interlocking paving stones, retaining walls, garden walls and enviro products. It operates within two dominant business segments: Masonry Products and Landscape Products. The company's products are used for residential construction and for industrial, commercial and institutional building projects. Revenue of the company is majorly centered in Canada and United States.",TSX
Brookfield Business Partners L.P.,BBU.UN,1654795,"
",bbu.enquiries@brookfield.com,,Industrials,"73 Front Street, 	5th Floor, 	Hamilton, , BMU, HM 12	",http://www.bbu.brookfield.com,Conglomerates,+1441 2943309,,"
	12/2018","Brookfield Business Partners LP is a business services and industrials company. It focused on operating high-quality businesses that are either low-cost producers and benefit from high barriers to entry. The principal business services include construction services, residential real estate services, facilities management, road fuel distribution, and marketing. The industrial operations consist of oil and gas exploration and production, marine energy services, palladium and aggregates mining & others. The company clients are corporations and government agencies. The revenue is derived from the UK and Canada.",TSX
Cott Corporation,BCB,884713,"
1111 ",investorrelations@cott.com,Soft Drink Manufacturing(312111),Consumer Defensive,"4221 West Boy Scout Boulevard, 	Suite 400, 	Tampa, FL, USA, 33607	",https://www.cott.com,Beverages - Non-Alcoholic,+1 813 313-1732,,"
	12/2018","Cott Corp along with its subsidiaries is engaged in manufacturing and selling beverages. Its is route based service company that offers bottled water and coffee roasting, blending of iced tea and extract solutions for the U.S. foodservice industry. The company is divided into three segments namely Route Based Services, Coffee, Tea and Extract Solutions and All other. It generates a majority of its revenue from the Route Based Services Segment.",TSX
BCE Inc.,BCE,718940,"
4821 ",investor.relations@bell.ca,Wired Telecommunications Carriers(517311),Communication Services,"1 Carrefour Alexander-Graham-Bell, 	Building A, 8th Floor, 	Verdun, QC, CAN, H3E 3B3	",http://www.bce.ca,Communication Services,+1 514 870-8777,+1 514 786-3970,"
	12/2018","BCE, through its Bell brand, is both a wireless and Internet service provider, offering wireless, broadband, television, and landline phone services in Canada. It is one of the big three national wireless carriers, with its nearly 10 million customers constituting about 30% of the market. It is also the ILEC (incumbent local exchange carrier- the legacy telephone provider) throughout much of the eastern half of Canada, including in the most populous Canadian provinces-Ontario and Quebec. Additionally, BCE has a media segment, which holds television, radio, and digital media assets. BCE licenses the Canadian rights to movie channels including HBO, Showtime, and Starz. In 2018, the wireline segment comprised 54% of total revenue, while wireless comprised 36%. Media provided the remainder.",TSX
New Look Vision Group Inc.,BCI,,"
6592 ",l.melanson@benvest.com,Optical Goods Stores(446130),Consumer Cyclical,"1 Place Ville-Marie, 	Suite 3670, 	Montreal, QC, CAN, H3B 3P2	",http://www.newlookvision.ca,Retail - Apparel & Specialty,+1 514 877-4199,+1 514 876-3956,"
	12/2018","New Look Vision Group Inc is an operator of retail stores in Canada. Its main business is that of eyecare products and services which function under four main banners: New Look Eyewear, Greiche and Scaff, Vogue Optical, and Iris The Visual Group. The group's network consists of corporately-owned eye care stores located across Quebec, Nova Scotia New Brunswick, Newfoundland and Labrador, Ontario, Prince Edward Island, Saskatchewan and British Columbia. The company also operates a lens processing laboratory and a distribution center, and a lens processing laboratory in Canada.",TSX
Black Diamond Group Limited,BDI,,"
9919 ",mburnyeat@blackdiamondlimited.com,Office Machinery and Equipment Rental and Leasing(532420),Industrials,"440 2nd Avenue SW, 	Suite 1000, 	Calgary, AB, CAN, T2P 5E9	",http://www.blackdiamondincomefund.com,Consulting & Outsourcing,+1 403 206-4747,+1 403 264-9281,"
	12/2018","Black Diamond Group Ltd rents and sells space rental solutions and modular workforce accommodations to business customers in Canada, the United States and Australia.The Company also provides specialized field rentals to the oil and gas industries of Canada and the United States. In addition, Black Diamond Group provides turnkey lodging services, as well as a host of related services that include transportation, installation, dismantling, repairs, maintenance and ancillary field equipment rentals. From twenty-two locations, the Company serves multiple sectors including oil and gas, mining, power, construction, engineering, military, government and education. Black Diamond Group has two core business units: Modular Space Solutions and Workforce Solutions.",TSX
Brompton Global Dividend Growth ETF,BDIV,,"
",info@bromptongroup.com,,,"Bay Wellington Tower, Brookfield Place, 	181 Bay Street, Suite 2930, P.O. Box 793, 	Toronto, Ontario, Canada, M5J 2T3	",http://www.bromptongroup.com,,416-642-6000,416-642-6001,"
	/",,TSX
Bird Construction Inc.,BDT,,"
4411 ",INVESTOR.RELATIONS@BIRD.CA,Other Building Equipment Contractors(238290),Industrials,"5700 Explorer Drive, 	Suite 400, 	Mississauga, ON, CAN, L4W 0C6	",http://www.bird.ca,Engineering & Construction,+1 905 602-4122,+1 905 602-1516,"
	12/2018","Bird Construction Inc, through its subsidiaries, operates as a contractor in construction market. It also provides pre-construction services, building information modeling and involves in public-private partnership projects. The company focuses on commercial, institutional, retail, tenant, residential, industrial, mining, water, wastewater, energy and civil sectors. It operates its business in Canada.",TSX
Boardwalk Real Estate Investment Trust,BEI.UN,,"
7222 ",investor@bwalk.com,Other Activities Related to Real Estate(531390),Real Estate,"1501 1st Street SW, 	Suite 200, 	Calgary, AB, CAN, T2R 0W1	",http://www.boardwalkreit.com,REITs,+1 403 531-9255,+1 403 261-9267,"
	12/2018","Boardwalk Real Estate Investment Trust, or Boardwalk REIT, is a real estate investment trust engaged in the acquisition, development, and management of residential multifamily communities throughout Canada. Although the company's cumulative residential property portfolio includes holdings in the provinces of Alberta, Saskatchewan, Ontario, and Quebec, the majority of its total units are located in Alberta. The submarkets around the cities of Calgary and Edmonton, specifically, account for the majority of Boardwalk REIT's total residential suites. The company derives substantially all of its income in the form of rental revenue from leasing its properties to tenants under short-term agreements. Boardwalk REIT's assets in Alberta contribute the majority of this revenue.",TSX
Becker Milk Company Ltd. (The),BEK.B,,"
7599 ",mnelligan@airdberlis.com,Other Activities Related to Real Estate(531390),Real Estate,"393 Eglinton Avenue East, 	2nd Floor, 	Toronto, ON, CAN, M4P 1M6	",,Real Estate Services,+1 416 698-2984,,"
	04/2018",Becker Milk Co Ltd engages in the ownership and management of retail commercial properties. The company leases retail stores with a few residential sites. The rental services generate maximum revenue for the company. Geographically the business caters its services only to the Canada region.,TSX
Brookfield Renewable Partners L.P.,BEP.PR.E,1533232,"
4911 ",robert.white@brookfield.com,Other Electric Power Generation(221118),Utilities,"73 Front Street, 	5th Floor, 	Hamilton, , BMU, HM 12	",https://www.bep.brookfield.com,Utilities - Independent Power Producers,+1 441 294-3304,+1 441 296-4475,"
	12/2018","Brookfield Renewable Partners LP is a renewable power generating company. It owns a portfolio of renewable power generating facilities is spread across North America, Latin America, and Europe. It operates renewable power generating assets, which include conventional hydroelectric facilities and wind facilities located in North America, Latin America, and Europe. Its operations are segmented by the type of power generation Hydroelectric, Wind, solar, storage and Other, which includes Biomass and Co-gen with Hydroelectric and Wind further segmented by geography North America, Colombia, Brazil, Europe and Other.",TSX
Brompton North American Financials Dividend ETF,BFIN,,"
",info@bromptongroup.com,,,"Bay Wellington Tower, Brookfield Place, 	181 Bay Street, Suite 2930, P.O. Box 793, 	Toronto, Ontario, Canada, M5J 2T3	",http://www.bromptongroup.com,,416-642-6000,416-642-6001,"
	/",,TSX
Bristol Gate Concentrated Canadian Equity ETF,BGC,,"
",info@bristolgate.com,,,"45 St. Clair Ave West, Suite 601, 		Toronto, Ontario, Canada, M4V 1K9	",http://www.bristolgate.com,,416 921 7076,416 921 3551,"
	/",,TSX
Brookfield Global Infrastructure Securities Income Fund,BGI.UN,,"
7499 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"Brookfield Place, 181 Bay Street, 	Suite 300, P.O. Box 762, 	Toronto, ON, CAN, M5J 2T3	",https://www.brookfieldim.com,Asset Management,+1 855 777-8001,+1 312 377-8236,"
	12/2018","Brookfield Global Infrastructure Securities Income Fund is a closed-end investment fund. The investment objective of the company is to provide the unitholders with quarterly cash distributions; maximize total return for unitholders through distributions and capital appreciation, and preserve capital. It invests in a portfolio comprised of equity securities of publicly-traded infrastructure companies that own and operate infrastructure assets. Brookfield Investment Management Inc is the investment manager of the fund.",TSX
Bristol Gate Concentrated US Equity ETF,BGU,,"
",info@bristolgate.com,,,"45 St. Clair Ave West, Suite 601, 		Toronto, Ontario, Canada, M4V 1K9	",http://www.bristolgate.com,,416 921 7076,416 921 3551,"
	/",,TSX
Bausch Health Companies Inc.,BHC,885590,"
3741 ",arthur.shannon@bauschhealth.com,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"2150 St. Elzear Blvd. West, 		Laval, QC, CAN, H7L 4A8	",https://www.bauschhealth.com,Drug Manufacturers,+1 514 744-6792,+1 514 744-6272,"
	12/2018","Bausch Health Companies Inc is a global specialty pharmaceutical, consumer health, and medical device company with a focus on branded products for the dermatology, gastrointestinal, and ophthalmology markets.",TSX
BIP Investment Corporation,BIK.PR.A,,"
7299 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"1055 West Georgia Street, 	P.O. Box 11117, 1500 Royal Centre, 	Vancouver, BC, CAN, V6E 4N7	",,Asset Management,,,"
	/",BIP Investment Corp is a Canada based company which operates for the purpose of issuing senior preferred shares and serve as an investment holding company.,TSX
Brookfield Infrastructure Partners L.P.,BIP.PR.A,1406234,"
4931 ",bip.enquiries@brookfield.com,,Utilities,"73 Front Street, 	5th Floor, 	Hamilton, , BMU, HM12	",https://www.bip.brookfield.com,Utilities - Regulated,+1 441 294-3309,+1 441 296-4475,"
	12/2018","Brookfield Infrastructure Partners LP is a Bermuda exempted limited partnership which owns and operates quality, long-life assets that generate stable cash flows, by virtue of barriers to entry or other characteristics tend to appreciate in value over time. It focuses on acquiring infrastructure assets that have low maintenance capital costs and high barriers to entry. The company's segments consist of Utilities, Transport, Energy businesses, and Data Infrastructure. Geographically, it generates maximum revenue from Brazil and also has a presence in Australia, Colombia, United Kingdom, Canada, United States of America, Chile, Peru, India, and other countries.",TSX
Birchcliff Energy Ltd.,BIR,,"
",info@birchcliffenergy.com,Crude Petroleum Extraction(211120),Energy,"600 - 3rd Avenue SW, 	Suite 1000, 	Calgary, AB, CAN, T2P 0G5	",http://www.birchcliffenergy.com,Oil & Gas - E&P,+1 403 213-4831,+1 403 261-6424,"
	12/2018","Birchcliff Energy Ltd is an intermediate oil and gas company that explores for, develops, and produces natural gas, light oil, and natural gas liquids. The company conducts its drilling program in resource plays located in the Peace River Arch region of Alberta. Birchcliff focuses on operating nearly all its high working production, which is surrounded by blocks of high working interest lands where it owns and/or controls the infrastructure. To get the full value out of its natural gas wells, several gas plants are completely owned and operated for gas processing purposes. Natural gas production accounts for the majority of Birchcliff's revenue.",TSX
Canadian Banc Corp.,BK,,"
7211 ",info@quadravest.com,Portfolio Management(523920),Financial Services,"200 Front Street West, 	Suite 2510, P.O. Box 51, 	Toronto, ON, CAN, M5V 3K2	",http://www.quadravest.com/canadian-banc-home,Asset Management,+1 416 304-4443,+1 416 304-4441,"
	11/2018","Canadian Banc Corp is a Canadian based company operating in the financial services sector. It is a mutual fund corporation that invests primarily in a portfolio of common shares of the Canadian chartered banks including Toronto-Dominion Bank, Bank of Nova Scotia, Canadian Imperial Bank of Commerce, Royal Bank of Canada, Bank of Montreal, and National Bank of Canada. Its investment objective is to pay monthly cash dividends. The manager and the investment manager of the Company is Quadravest Capital Management Inc.",TSX
Horizons Blockchain Technology & Hardware Index ETF,BKCH,,"
",,,,"26 Wellington St E., 	Suite 920, 	Toronto, Ontario, Canada, M5E 1S2	",http://www.HorizonsETFs.com,,416 933 5745,416 933 5746,"
	/",,TSX
Black Iron Inc.,BKI,1517648,"
",,Iron Ore Mining(212210),Basic Materials,"65 Queen Street West, 	Suite 805, 8th Floor, 	Toronto, ON, CAN, M5H 2M5	",http://www.blackiron.com,Metals & Mining,+1 416 861-2269,+1 416 861-8165,"
	12/2018","Black Iron Inc is a Canadian based iron ore exploration and development company. The principal activity of the company is the exploration and development of ferrous metals in Ukraine namely the Shymanivske iron ore project located in Kryvyi Rih, Ukraine. The company operates through the development of its Ukrainian mining and exploration permits segment. The Shymanivske project includes iron ore deposit. It is located approximately 330 kilometers southeast from Kiev in central Ukraine.",TSX
Invesco Senior Loan Index ETF,BKL.C,,"
",inquiries@invesco.ca,,,"5140 Yonge Street, 	Suite 900, 	Toronto, Ontario, Canada, M2N 6X7	",http://www.invesco.ca.,,+1 416 5909855,4165909868,"
	/",,TSX
BNK Petroleum Inc.,BKX,1477081,"
",gjohnson@bnkpetroleum.com,Crude Petroleum Extraction(211120),Energy,"760 Paseo Camarillo, 	Suite 350, 	Camarillo, CA, USA, 93010	",https://www.bnkpetroleum.com,Oil & Gas - E&P,+1 805 484-3613,+1 805 484-9649,"
	12/2018","BNK Petroleum Inc is a Canadian based exploration company. It is focused on the acquisition, exploration, and production of oil and gas reserves. The company owns and operates shale oil and gas properties in the United States. It segments include the United States, Canada and Other. The countries included in Other are Spain and Netherlands.",TSX
Global Innovation Dividend Fund,BL.UN,,,,,,,,,,,,,TSX
Bloom Select Income Fund,BLB.UN,,,,,,,,,,,,,TSX
First Trust Indxx Innovative Transaction and Process ETF,BLCK,,"
",,,,"330 Bay Street, Suite 1300, 		Toronto, ON, Canada, M5H 2S8	",http://www.firsttrust.ca,,,,"
	/",,TSX
Ballard Power Systems Inc.,BLDP,1453015,"
3379 ",investors@ballard.com,All Other Miscellaneous Electrical Equipment and Component Manufacturing(335999),Industrials,"9000 Glenlyon Parkway, 		Burnaby, BC, CAN, V5J 5J8	",http://www.ballard.com,Industrial Products,+1 604 454-0900,+1 604 412-4747,"
	12/2018","Ballard Power Systems Inc is a clean energy growth company. The company is engaged in proton exchange membrane fuel cell development and commercialization. The company's main business is the design, development, manufacture, sale, and service of fuel cell products for a variety of applications, focusing on motive power (material handling and buses) and stationary power (back-up power, supplemental power, and distributed generation). A fuel cell is an environmentally clean electrochemical device that combines hydrogen fuel with oxygen (from the air) to produce electricity. Geographically, it has a presence in China, Europe, North America and other of which Europe generates maximum revenue.",TSX
BELLUS Health Inc.,BLU,1259942,"
3741 ",ir@bellushealth.com,Biological Product (except Diagnostic) Manufacturing(325414),Healthcare,"275 Armand-Frappier Boulevard, 		Laval, QC, CAN, H7V 4A7	",http://www.bellushealth.com,Biotechnology,+1 450 680-4525,+1 450 680-4501,"
	12/2018","BELLUS Health Inc is a clinical-stage biopharmaceutical development company advancing novel therapeutics for conditions with high unmet medical need, including BLU-5937, P2X3 antagonist that has the potential to be a best-in-class therapeutic for chronic cough. The Company operates in one business segment namely, development of drug candidates for health solutions.",TSX
Boralex Inc.,BLX,1490663,"
4911 ",info@boralex.com,Hydroelectric Power Generation(221111),Utilities,"36, rue Lajeunesse, 	Juridique, 	Kingsey Falls, QC, CAN, J0A 1B0	",https://www.boralex.com,Utilities - Independent Power Producers,+1 514 284-9890,+1 514 284-9895,"
	12/2018","Boralex Inc is an electric utility company involved in the development, construction, and operation of renewable energy power facilities. The company controls a portfolio of electricity producing plants that utilize wind, hydroelectric, thermal, and solar fuel sources. Most of Boralex's plants rely on wind power, while a significant number also employ hydroelectric power. The company generates the vast majority of its revenue from the sale of energy through long-term contracts to customers in Canada, France, and the United States. Boralex's wind and hydroelectric power stations, located in Canada and France, account for most of this revenue. The company's facilities in Canada and France are also responsible for most of the company's total power production.",TSX
Bank of Montreal,BMO,927971,"
7021 ",christine.viau@bmo.com,Commercial Banking(522110),Financial Services,"129 rue Saint-Jacques, 		Montreal, QC, CAN, H2Y 1L6	",https://www.bmo.com,Banks,+1 416 867-7366,+1 416 867-6793,"
	10/2018","Bank of Montreal is a diversified financial-services provider based in North America, operating four business segments: Canadian P&C banking, U.S. P&C banking, wealth management, and capital markets.",TSX
Purpose Canadian Financial Income Fund,BNC,,"
",,,,"Purpose Investments Inc., 	Suite 1700, P.O. Box 83 Toronto, ON, 	Toronto, ON, Canada, M5H 3P5	",http://www.purposeinvest.com,,877-789-1517,416 583-3851,"
	/",,TSX
Purpose Global Bond Fund,BND,,"
",,,,"Purpose Investments Inc., 	Suite 1700, P.O. Box 83 Toronto, ON, 	Toronto, ON, Canada, M5H 3P5	",http://www.purposeinvest.com,,877-789-1517,416 583-3851,"
	/",,TSX
Bonterra Energy Corp.,BNE,1465815,"
",info@bonterraenergy.com,Support Activities for Oil and Gas Operations(213112),Energy,"1015-4th Street South West, 	Suite 901, 	Calgary, AB, CAN, T2R 1J4	",http://www.bonterraenergy.com,Oil & Gas - E&P,+1 403 262-5307,+1 403 265-7488,"
	12/2018","Bonterra Energy Corp is an oil and gas exploration company operating in the Western Canadian Sedimentary Basin. The company develops and produces crude oil, natural gas, and natural gas liquids. Bonterra operates in one industry and has only one reportable segment. Its assets consist of crude oil and natural gas assets.",TSX
Bengal Energy Ltd.,BNG,,"
",investor.relations@bengalenergy.ca,Crude Petroleum Extraction(211120),Energy,"715 - 5th Avenue S.W., 	Suite 2000, 	Calgary, AB, CAN, T2P 2X6	",http://www.bengalenergy.ca,Oil & Gas - E&P,+1 403 205-2526,+1 403 263-3168,"
	03/2018","Bengal Energy Ltd is engaged in the exploration of oil and natural resource business activities. It involved in development and production of crude oil and natural gas. The company mainly operates in three different countries namely Australia, India, and Canada. It derives its revenues from the sale of the exploration business and has operations spread across Canada.",TSX
Bonavista Energy Corporation,BNP,,"
",inv_rel@bonavistaenergy.com,Crude Petroleum Extraction(211120),Energy,"525 - 8th Avenue SW, 	Suite 1500, 	Calgary, AB, CAN, T2P 1G1	",http://www.bonavistaenergy.com,Oil & Gas - E&P,+1 403 213-4300,+1 403 262-5184,"
	12/2018","Bonavista Energy Corp is a Calgary-based Bonavista Energy is an independent producer of oil and natural gas in the Western Canadian. The company generates its revenue through the sale of oil, and natural gas liquids.",TSX
Bank of Nova Scotia (The),BNS,9631,"
7029 ",investor.relations@scotiabank.com,Commercial Banking(522110),Financial Services,"1709 Hollis Street, 		Halifax, NS, CAN, B3J 1W1	",http://www.scotiabank.com,Banks,+1 416 866-3672,+1 416 866-7767,"
	10/2018","The Bank of Nova Scotia is known as Canada's ""international bank"" and is a global financial services provider. The bank has three business segments: Canadian banking, international banking, and global banking and markets. It is the third- largest bank in Canada. The bank's international operations span numerous countries, and are more concentrated in Central and South America.",TSX
AirBoss of America Corp.,BOS,1000572,"
1599 ",,All Other Rubber Product Manufacturing(326299),Consumer Cyclical,"16441 Yonge Street, 		Newmarket, ON, CAN, L3X 2G8	",http://www.airbossofamerica.com,Autos,+1 905 751-1188,+1 905 751-1101,"
	12/2018","Airboss of America Corp is a Canada based manufacturer of rubber-based products for the resource, military, automotive and industrial markets. Its activities are organized in the segments of Rubber Solutions, Engineered Products and Corporate. The Rubber Solutions segment includes manufacturing and distribution of rubber compounds and distribution of rubber compounding related chemicals. Engineered Products segment includes the manufacture and distribution of personal protection and safety products primarily for CBRN hazards and semi-finished rubber related products and includes the manufacture and distribution of anti-vibration and noise dampening automotive parts.",TSX
